ngrama,frequencia,probabilidade,termo_1,termo_2
ao de,284,0.004382377902939588,ao,de
et al,211,0.0032559216109868064,et,al
o de,165,0.0025460998379754646,o,de
n ao,149,0.0022992053082323896,n,ao
para o,129,0.0019905871460535454,para,o
para a,129,0.0019905871460535454,para,a
anotac ao,129,0.0019905871460535454,anotac,ao
s ao,126,0.0019442944217267187,s,ao
l ngua,120,0.0018517089730730654,l,ngua
s o,113,0.00174369261631047,s,o
n o,109,0.001681968983874701,n,o
ao e,108,0.0016665380757657589,ao,e
anota o,104,0.0016048144433299899,anota,o
que o,93,0.0014350744541316257,que,o
e o,93,0.0014350744541316257,e,o
portugu es,91,0.0014042126379137413,portugu,es
de um,89,0.0013733508216958567,de,um
e a,84,0.0012961962811511457,e,a
de depend,81,0.0012499035568243192,de,depend
oes de,79,0.0012190417406064346,oes,de
relac ao,76,0.0011727490162796081,relac,ao
o que,72,0.0011110253838438392,o,que
com o,71,0.001095594475734897,com,o
o modelo,71,0.001095594475734897,o,modelo
ora o,69,0.0010647326595170125,ora,o
com a,68,0.0010493017514080704,com,a
de uma,67,0.0010338708432991281,de,uma
tamb em,67,0.0010338708432991281,tamb,em
se o,65,0.0010030090270812437,se,o
que a,63,0.0009721472108633594,que,a
