titulo,idioma,tokens,types,sentencas,lemmas
A call for a research agenda on fair NLP for Portuguese,Português,2536,908,222,907
A dependency-based study of medicine package inserts in Brazilian Portuguese,Português,2313,1062,166,1062
A funcionalidade dos adjetivos em dois gêneros discursivos: uma investigação com base nas dependências universais,Português,4393,1320,283,1313
Abordagens Baseadas em Léxicos para a Classificação de Sentimentos Orientada aos Alvos de Opinião em Comentários do Domínio Político,Português,2785,896,186,896
Annotation of fixed Multiword Expressions (MWEs) in a Portuguese Universal Dependencies (UD) treebank: Gathering candidates from three different sources,Português,4321,1209,189,1209
Anotação do Dataset Multimodal da ReINVenTA,Português,841,597,61,593
Aposições anafóricas e catafóricas no português e sua anotação no esquema Universal Dependencies,Português,3989,1265,297,1258
Aryon: um aplicativo Shiny para documentação e análise de línguas indígenas brasileiras,Português,1633,615,84,615
Avaliação do senso comum em modelos de linguagem através de benchmarks: Desafio de Winograd aplicado ao ChatGPT em português brasileiro,Português,2388,978,162,973
Características gerais das leis federais brasileiras: um estudo exploratório sob o enfoque da Análise Multidimensional,Português,4129,1386,269,1374
CDJUR-BR - Uma Coleção Dourada do Judiciário Brasileiro com Entidades Nomeadas Refinadas,Português,4896,1442,273,1442
Classificação de gêneros a partir de letras de músicas em português,Português,5398,1602,292,1602
Classificação de Polaridade Orientada aos Alvos de Opinião em Comentários sobre Debate Político em Português,Português,5296,1339,275,1339
"Coleta, composição e etapas de pré-processamento de corpus: procedimentos para a anotação multimodal da FrameNet Brasil",Português,470,396,17,395
Complexidade textual em narrativas orais produzidas por informantes de diferentes níveis de escolaridade,Português,3619,1063,245,1055
Construções sintáticas do português que desafiam a tarefa de parsing: uma análise qualitativa,Português,3190,1080,151,1073
Desafios da tarefa de Extração de Informação Aberta: uma abordagem metodológica de um corpus automatizado até o corpus manual,Português,2174,705,117,705
Desambiguação dos termos do Atlas Linguístico do Brasil através da OpenWordnet-PT-ALiB,Português,1831,670,113,670
Em Direção à Anotação Sintática - UD de Tweets do Mercado Financeiro,Português,4256,1210,258,1210
Enhanced dependencies para o português brasileiro,Português,2629,1192,153,1185
"Etiquetagem morfossintática multigênero para o português do Brasil segundo o modelo ""Universal Dependencies""",Português,6012,1687,375,1687
Explorando Redes Neurais Profundas para Tarefa de Aceitabilidade Linguística,Português,2395,845,184,845
Explorando variações no tagset e na anotação Universal Dependencies (UD) para Português: Possibilidades e resultados com base no treebank PetroGold,Português,5209,1440,244,1440
Formal features for a syntactic-semantic classification of predicative adjectives in Brazilian Portuguese,Inglês,4577,1435,202,1433
Gramáticas Locais para Reconhecimento de Construções com Verbo Suporte em Português,Português,2050,734,98,734
How Good Is ChatGPT For Detecting Hate Speech In Portuguese?,Português,4063,1296,283,1296
Indução Gramatical para o Português: a Contribuição da Informação Mútua para Descoberta de Relações de Dependência,Português,5159,1469,390,1469
Lexical noun phrase chunking with Universal Dependencies for Portuguese,Português,4347,1288,310,1288
Pipeline para identificação de erros lexicais e geração de sugestões de correção,Português,2286,812,137,812
Predição de transtorno depressivo em redes sociais: BERT supervisionado ou ChatGPT zero-shot?,Português,5390,1569,366,1569
