ngrama,frequencia,probabilidade,termo_1
de,3399,0.052448847328951026,de
o,2419,0.03732679072925346,o
a,2089,0.032234669629355304,a
ao,1913,0.029518871709409623,ao
e,1780,0.027466592599450668,e
em,1044,0.016109619479677807,em
que,1004,0.015492392679690152,que
do,804,0.012406258679751874,do
para,739,0.011403265129771935,para
da,655,0.010107088849797859,da
as,549,0.00847143782983057,as
os,539,0.008317131129833658,os
uma,527,0.00813196308983736,uma
se,527,0.00813196308983736,se
com,521,0.008039379069839212,com
um,502,0.007746196339845076,um
es,470,0.007252414899854951,es
por,437,0.006743202789865136,por
no,436,0.006727772119865445,no
na,432,0.006666049439866679,na
oes,432,0.006666049439866679,oes
s,424,0.006542604079869148,s
n,412,0.006357436039872852,n
como,392,0.006048822639879024,como
m,357,0.005508749189889825,m
das,328,0.005061259759898775,das
dos,317,0.004891522389902169,dos
al,286,0.004413171619911737,al
l,272,0.004197142239916058,l
ou,232,0.003579915439928402,ou
